route,global_solution_id,source_run,source_solution_id,status,stored_peak_kw,replay_peak_kw,delta_peak_kw,stored_lcoe_usd_kwh,replay_lcoe_usd_kwh,delta_lcoe_usd_kwh,replay_valid,solve_time_sec
B1,6,seed42,6,OPTIMAL,425.24760011410217,425.24760011410217,0.0,0.1869900375412441,0.18699003754124413,2.7755575615628914e-17,True,8.261999999999974
B1,7,seed42,7,OPTIMAL,425.2476001141032,425.24760011410314,-5.684341886080802e-14,0.1862552695362151,0.1862552695362151,0.0,True,8.56099999999999
B1,8,seed42,8,OPTIMAL,427.2476001141026,427.2476001141026,0.0,0.1861305528652083,0.18613055286520835,5.551115123125783e-17,True,8.461999999999989
B1,9,seed42,9,OPTIMAL,428.2476001141022,428.2476001141022,0.0,0.1856939619004292,0.18569396190042922,2.7755575615628914e-17,True,8.224999999999993
B1,10,seed42,10,OPTIMAL,428.3578345096222,428.3578345096222,0.0,0.185306319655312,0.18530631965531205,5.551115123125783e-17,True,8.450999999999992
B1,11,seed42,11,OPTIMAL,430.2476001141024,430.2476001141024,0.0,0.1844669162026829,0.18446691620268293,2.7755575615628914e-17,True,8.003999999999976
B1,12,seed42,12,OPTIMAL,436.2476001141032,436.24760011410314,-5.684341886080802e-14,0.1844436944185219,0.18444369441852193,2.7755575615628914e-17,True,8.126999999999986
B1,13,seed42,13,OPTIMAL,439.24760011410217,439.24760011410217,0.0,0.1842310197452163,0.18423101974521638,8.326672684688674e-17,True,8.360999999999981
B1,14,seed42,14,OPTIMAL,439.2476001141031,439.2476001141031,0.0,0.1841112831778918,0.18411128317789185,5.551115123125783e-17,True,7.684999999999988
B1,15,seed42,15,OPTIMAL,440.24760011410217,440.24760011410217,0.0,0.1838903840195606,0.1838903840195606,0.0,True,7.946999999999987
B1,16,seed42,16,OPTIMAL,442.2476001141025,442.2476001141025,0.0,0.1826997698082532,0.1826997698082532,0.0,True,7.838000000000001
B1,17,seed43,0,OPTIMAL,443.24760011410217,443.24760011410217,0.0,0.1824317355828486,0.18243173558284864,5.551115123125783e-17,True,7.330999999999985
B1,18,seed43,1,OPTIMAL,443.2476001141024,443.2476001141024,0.0,0.1819924357681663,0.18199243576816634,5.551115123125783e-17,True,7.804999999999984
B1,19,seed43,2,OPTIMAL,443.4132164387021,443.4132164387021,0.0,0.1818002142053701,0.18180021420537015,5.551115123125783e-17,True,7.584999999999985
B1,20,seed43,3,OPTIMAL,443.888325495238,443.888325495238,0.0,0.1817663688987137,0.18176636889871373,2.7755575615628914e-17,True,6.937
B1,21,seed43,4,OPTIMAL,444.4525024531778,444.4525024531778,0.0,0.1817269387936106,0.18172693879361065,5.551115123125783e-17,True,7.731999999999983
