solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh
20,793.0,6000.0,0.0,0.0,0.0,0.12864623727744068,0,0.07968491803615892,OPTIMAL,14.053999999999997,2113000.0,177245.82524271845,34330.0,0.0,0.0,80206.19673116662,1.9682033780554775e-11,534707.9782077775,2268096.0450061434,3.936406756110955e-11,325732.2452614388,99.99999999999999,304.4835868927022,474.8149521321564,35.87321007364685,1.2084792996012787e-16,1.2084792996012787e-14,0.2357519115581938,0.03536278673372919,3.936406756110955e-11,325732.2452614388
21,769.0,6000.0,0.0,0.0,0.0,0.12778784997779358,0,0.10724122370373565,OPTIMAL,8.319999999999986,2089000.0,175232.6213592233,34090.0,0.0,0.0,80512.49577524872,1.942623839568114e-11,536749.9718349914,2268096.0450061434,3.885247679136228e-11,325732.2452614388,99.99999999999999,305.32306763194174,474.8149521321564,35.69640840902575,1.192773431447616e-16,1.1927734314476161e-14,0.23665222335570782,0.03549783350335629,3.885247679136228e-11,325732.2452614388
22,755.0,5985.0,0.0,0.0,0.0,0.12741408723152345,0,0.10509779567240415,OPTIMAL,14.282999999999994,2071700.0,173781.43689320388,33884.0,0.0,0.0,81321.95043468219,2.05631067728973e-11,542146.3362312145,2268096.0450061434,4.11262135457946e-11,325732.2452614388,99.99999999999999,310.2879090129909,474.8149521321564,34.65077129108022,1.2625772899083398e-16,1.2625772899083398e-14,0.23903147198060828,0.035854720797091365,4.11262135457946e-11,325732.2452614388
23,746.0,6000.0,0.0,0.0,0.0,0.1272572550418696,0,0.08803112615027245,OPTIMAL,14.118000000000007,2066000.0,173303.30097087377,33860.0,0.0,0.0,81468.37588792876,2.1302071218087804e-11,543122.5059195249,2268096.0450061434,4.260414243617561e-11,325732.2452614388,99.99999999999999,318.23102933229745,474.8149521321564,32.977883720114306,1.3079497979078101e-16,1.3079497979078101e-14,0.2394618636699108,0.03591927955048675,4.260414243617561e-11,325732.2452614388
24,740.0,5984.0,0.0,0.0,0.0,0.1272108443346354,0,0.08671065966383022,OPTIMAL,14.793000000000008,2056480.0,172504.73009708736,33729.600000000006,0.0,0.0,82292.08282019134,2.1898927116126288e-11,548613.8854679421,2268096.0450061434,4.3797854232252575e-11,325732.2452614388,99.99999999999999,323.6721285473768,474.8149521321564,31.8319427191736,1.34459682359969e-16,1.34459682359969e-14,0.2418830043268543,0.036282450649028276,4.3797854232252575e-11,325732.2452614388
25,730.0,5928.0,0.0,0.0,0.0,0.12716832369788048,0,0.08860973957511692,OPTIMAL,13.559999999999999,2034160.0,170632.4504854369,33383.2,0.0,0.0,84414.32154378685,2.3092638912203256e-11,562762.1436252455,2268096.0450061434,4.618527782440651e-11,325732.2452614388,99.99999999999999,332.6011393679223,474.8149521321564,29.951418363221926,1.41789087498345e-16,1.4178908749834499e-14,0.24812094922713965,0.03721814238407108,4.618527782440651e-11,325732.2452614388
26,725.0,5816.0,0.0,0.0,0.0,0.12713498632646,0,0.12282646284164771,OPTIMAL,8.20599999999999,2004520.0,168146.1436893204,32840.4,0.0,0.0,87367.81597963367,2.759747985692229e-11,582452.106530891,2268096.0450061434,5.519495971384458e-11,325732.2452614388,99.99999999999997,338.51716750746186,474.8149521321564,28.70545335875574,1.6944886641340675e-16,1.6944886641340674e-14,0.2568022230863303,0.0385203334629497,5.519495971384458e-11,325732.2452614388
27,713.0,5691.0,0.0,0.0,0.0,0.1270753160831916,0,0.09428085439824066,OPTIMAL,13.408000000000003,1965020.0,164832.74563106796,32170.4,0.0,0.0,91215.87619512447,2.9316993277461734e-11,608105.8413008297,2268096.0450061434,5.863398655492347e-11,325732.2452614388,99.99999999999997,353.3081114017459,474.8149521321564,25.590356871615782,1.8000670000559122e-16,1.800067000055912e-14,0.2681129146359331,0.04021693719539015,5.863398655492347e-11,325732.2452614388
28,712.0,5687.0,0.0,0.0,0.0,0.12707123159561823,0,0.06359863537364907,OPTIMAL,14.273000000000007,1963140.0,164675.04466019417,32142.8,0.0,0.0,91391.91315588725,3.0595970201829914e-11,609279.4210392481,2268096.0450061434,6.119194040365983e-11,325732.2452614388,99.99999999999997,354.49316952183744,474.8149521321564,25.340773720375488,1.8785963408242263e-16,1.8785963408242264e-14,0.26863034410767106,0.040294551616150844,6.119194040365983e-11,325732.2452614388
29,704.0,5512.0,0.0,0.0,0.0,0.1270547728180212,0,0.06428465655155499,OPTIMAL,14.012999999999993,1916640.0,160774.46213592234,31292.8,0.0,0.0,96105.16559178557,3.40207861881936e-11,640701.103945237,2268096.0450061434,6.80415723763872e-11,325732.2452614388,99.99999999999997,364.3245553768378,474.8149521321564,23.270201635218424,2.0888804644371563e-16,2.088880464437156e-14,0.28248411497208076,0.04237261724581232,6.80415723763872e-11,325732.2452614388
30,703.0,5511.0,0.0,0.0,0.0,0.12704343775558907,0,0.04940063268585834,OPTIMAL,12.756000000000004,1915420.0,160672.12427184466,31278.4,0.0,0.0,96196.19444559104,3.3438141144870315e-11,641307.9629706067,2268096.0450061434,6.687628228974063e-11,325732.2452614388,99.99999999999997,365.5534786087129,474.8149521321564,23.011380124573765,2.0531059869760356e-16,2.0531059869760355e-14,0.2827516781675221,0.042412751725128525,6.687628228974063e-11,325732.2452614388
31,697.0,5404.0,0.0,0.0,0.0,0.12704306985149208,0,0.059145351730529705,OPTIMAL,13.913999999999994,1885880.0,158194.2058252427,30747.600000000002,0.0,0.0,99204.07845036569,3.5413449950283393e-11,661360.5230024378,2268096.0450061434,7.082689990056679e-11,325732.2452614388,99.99999999999997,372.92701799996325,474.8149521321564,21.45845106070595,2.174390191051543e-16,2.174390191051543e-14,0.29159282053271535,0.04373892307990752,7.082689990056679e-11,325732.2452614388
32,695.0,5484.0,0.0,0.0,0.0,0.1269855466526116,0,0.05272815762583581,OPTIMAL,7.894999999999991,1901480.0,159502.78834951457,31079.600000000002,0.0,0.0,97433.02778621693,3.2741809263825417e-11,649553.5185747794,2268096.0450061434,6.548361852765083e-11,325732.2452614388,99.99999999999997,375.38486446371314,474.8149521321564,20.940808039416726,2.010351123668842e-16,2.0103511236688422e-14,0.2863871307412028,0.04295806961118062,6.548361852765083e-11,325732.2452614388
33,690.0,5503.0,0.0,0.0,0.0,0.12697624880942807,0,0.1013965111583684,OPTIMAL,13.158000000000005,1900660.0,159434.00388349514,31113.2,0.0,0.0,97447.12385088464,3.26281224261038e-11,649647.4923392308,2268096.0450061434,6.52562448522076e-11,325732.2452614388,99.99999999999997,381.5294806230886,474.8149521321564,19.646700486193502,2.0033707378227699e-16,2.0033707378227697e-14,0.28642856362701835,0.042964284544052954,6.52562448522076e-11,325732.2452614388
