b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,n_h2_dominators,objective_distance,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,delta_lcoe_b1_minus_h2_usd_kwh,b1_peak_kw,h2_peak_kw,delta_peak_b1_minus_h2_kw,b1_annualized_capex_usd,h2_annualized_capex_usd,delta_capex_ann_b1_minus_h2_usd,b1_fixed_opex_usd,h2_fixed_opex_usd,delta_fixed_b1_minus_h2_usd,b1_grid_opex_usd,h2_grid_opex_usd,delta_grid_b1_minus_h2_usd,b1_dispatchable_opex_usd,h2_dispatchable_opex_usd,delta_dispatchable_b1_minus_h2_usd,b1_degradation_opex_usd,h2_degradation_opex_usd,delta_degradation_b1_minus_h2_usd,b1_total_annual_cost_usd,h2_total_annual_cost_usd,delta_total_b1_minus_h2_usd,h2_total_cost_advantage_percent,b1_lcoe_reconstructed,h2_lcoe_reconstructed,b1_lcoe_reconstruction_error,h2_lcoe_reconstruction_error,b1_E_grid_kwh,h2_E_grid_kwh,delta_E_grid_b1_minus_h2_kwh,b1_grid_dependency_ratio,h2_grid_dependency_ratio,delta_grid_dependency_pp,b1_pv_kw,h2_pv_kw,delta_pv_h2_minus_b1_kw,b1_bsv_kwh,h2_bsv_kwh,delta_bsv_h2_minus_b1_kwh,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg
seed42,10,26,warm_start_20260831_030140,26,42,0.4193271531508724,0.185306319655312,0.1720445985024824,0.013261721152829586,428.3578345096222,389.4913761896632,38.86645831995901,50387.50993131848,186409.91258813025,-136022.40265681176,3472.52,29721.0,-26248.48,355048.9795596355,165951.11943328544,189097.86012635008,11383.521233903488,8131.641406734561,3251.8798271689266,0.0,0.0,0.0,420292.53072485747,390213.67342815024,30078.857296707225,7.156648071958768,0.18530631965531205,0.1720445985024824,5.551115123125783e-17,0.0,1759194.7947752173,1100978.0932851234,658216.701490094,0.775626234457127,0.485419519913735,29.020671454339197,245.0,740.0,495.0,105.0,1375.0,1270.0,41.0,346.0,79.0,317.0,85.0
seed42,11,35,cold_start_20260830_174912,11,42,0.4200380377974843,0.1844669162026829,0.1662783368718746,0.018188579330808308,430.2476001141024,403.2476001141024,27.0,45910.69794470572,172843.19837288657,-126932.50042818085,3140.1800000000003,27487.0,-24346.82,358588.7810763783,169743.4889242261,188845.2921521522,10749.024052700788,7061.550932185366,3687.473120515422,0.0,0.0,0.0,418388.6830737848,377135.23822929803,41253.444844486774,9.860076649638138,0.18446691620268293,0.16627833687187463,2.7755575615628914e-17,2.7755575615628914e-17,1771509.520806295,1129105.8245040884,642403.6963022067,0.7810557779097477,0.4978209926295383,28.32347852802094,231.0,683.0,452.0,97.0,1485.0,1388.0,38.0,249.0,65.0,278.0,78.0
seed42,12,35,cold_start_20260830_174912,11,44,0.4499067843373266,0.1844436944185219,0.1662783368718746,0.018165357546647304,436.2476001141032,403.2476001141024,33.000000000000796,46954.88678956065,172843.19837288657,-125888.31158332592,3527.5,27487.0,-23959.5,358785.47417095845,169743.4889242261,189041.98524673234,9068.152876452164,7061.550932185366,2006.6019442667985,0.0,0.0,0.0,418336.01383697125,377135.23822929803,41200.77560767322,9.848727875417744,0.18444369441852193,0.16627833687187463,2.7755575615628914e-17,2.7755575615628914e-17,1764727.9411537703,1129105.8245040884,635622.1166496819,0.7780657900441736,0.4978209926295383,28.024479741463537,252.0,683.0,431.0,113.0,1485.0,1372.0,32.0,315.0,65.0,278.0,78.0
seed42,13,35,cold_start_20260830_174912,11,45,0.463333242614594,0.1842310197452163,0.1662783368718746,0.017952682873341702,439.24760011410217,403.2476001141024,35.99999999999977,41072.51432118841,172843.19837288657,-131770.68405169816,2980.16,27487.0,-24506.84,365747.09365854994,169743.4889242261,196003.60473432383,8053.879271835623,7061.550932185366,992.3283396502566,0.0,0.0,0.0,417853.647251574,377135.23822929803,40718.40902227594,9.744658037592984,0.18423101974521638,0.16627833687187463,8.326672684688674e-17,2.7755575615628914e-17,1784026.2302164298,1129105.8245040884,654920.4057123414,0.7865743755183866,0.4978209926295383,28.875338288884834,240.0,683.0,443.0,70.0,1485.0,1415.0,29.0,168.0,65.0,278.0,78.0
seed42,14,35,cold_start_20260830_174912,11,45,0.4616083779686452,0.1841112831778918,0.1662783368718746,0.0178329463060172,439.2476001141031,403.2476001141024,36.00000000000068,45334.418147184326,172843.19837288657,-127508.78022570224,3493.2,27487.0,-23993.8,360718.0158149309,169743.4889242261,190974.5268907048,8036.439254667368,7061.550932185366,974.888322482002,0.0,0.0,0.0,417582.0732167826,377135.23822929803,40446.83498748456,9.685960576781532,0.18411128317789185,0.16627833687187463,5.551115123125783e-17,2.7755575615628914e-17,1769946.825426872,1129105.8245040884,640841.0009227835,0.7803667879602858,0.4978209926295383,28.254579533074754,251.0,683.0,432.0,113.0,1485.0,1372.0,29.0,300.0,65.0,278.0,78.0
seed42,15,35,cold_start_20260830_174912,11,45,0.4642195022587269,0.1838903840195606,0.1662783368718746,0.017612047147685994,440.24760011410217,403.2476001141024,36.99999999999977,44531.41533282261,172843.19837288657,-128311.78304006397,3458.16,27487.0,-24028.84,361390.6022345739,169743.4889242261,191647.1133103478,7700.87514202972,7061.550932185366,639.3242098443543,0.0,0.0,0.0,417081.05270942627,377135.23822929803,39945.81448012823,9.577470427062973,0.1838903840195606,0.16627833687187463,0.0,2.7755575615628914e-17,1772328.008864056,1129105.8245040884,643222.1843599677,0.7814166480146811,0.4978209926295383,28.359565538514286,249.0,683.0,434.0,114.0,1485.0,1371.0,28.0,288.0,65.0,278.0,78.0
seed42,16,35,cold_start_20260830_174912,11,42,0.4599089692064709,0.1826997698082532,0.1662783368718746,0.0164214329363786,442.2476001141025,403.2476001141024,39.000000000000114,42198.796046354815,172843.19837288657,-130644.40232653177,3345.34,27487.0,-24141.66,361793.6901512559,169743.4889242261,192050.20122702981,7042.799128021108,7061.550932185366,-18.75180416425792,0.0,0.0,0.0,414380.6253256319,377135.23822929803,37245.38709633384,8.988206692111962,0.1826997698082532,0.16627833687187463,0.0,2.7755575615628914e-17,1776689.3712353902,1129105.8245040884,647583.5467313018,0.783339565865068,0.4978209926295383,28.551857323552976,241.0,683.0,442.0,129.0,1485.0,1356.0,26.0,227.0,65.0,278.0,78.0
seed43,0,35,cold_start_20260830_174912,11,43,0.4626406778111602,0.1824317355828486,0.1662783368718746,0.016153398710973987,443.24760011410217,403.2476001141024,39.99999999999977,39530.8792884412,172843.19837288657,-133312.31908444536,3100.8,27487.0,-24386.2,364597.8671163629,169743.4889242261,194854.3781921368,6543.151554261499,7061.550932185366,-518.3993779238672,0.0,0.0,0.0,413772.6979590656,377135.23822929803,36637.45972976758,8.854489411815207,0.18243173558284867,0.16627833687187463,8.326672684688674e-17,2.7755575615628914e-17,1787853.8706342364,1129105.8245040884,658748.046130148,0.7882619761939551,0.4978209926295383,29.044098356441683,229.0,683.0,454.0,118.0,1485.0,1367.0,25.0,180.0,65.0,278.0,78.0
seed43,1,35,cold_start_20260830_174912,11,43,0.4569725760023918,0.1819924357681663,0.1662783368718746,0.01571409889629169,443.2476001141024,403.2476001141024,40.0,39459.78644668265,172843.19837288657,-133383.41192620393,3129.02,27487.0,-24357.98,363469.85922692873,169743.4889242261,193726.37030270262,6717.6581132012425,7061.550932185366,-343.89281898412355,0.0,0.0,0.0,412776.32378681266,377135.23822929803,35641.08555751463,8.634479136434734,0.18199243576816634,0.16627833687187463,5.551115123125783e-17,2.7755575615628914e-17,1787570.2016043605,1129105.8245040884,658464.3771002721,0.7881369069622087,0.4978209926295383,29.031591433267046,223.0,683.0,460.0,134.0,1485.0,1351.0,25.0,191.0,65.0,278.0,78.0
seed43,2,35,cold_start_20260830_174912,11,42,0.455585594905724,0.1818002142053701,0.1662783368718746,0.015521877333495498,443.4132164387021,403.2476001141024,40.16561632459968,38036.91108942324,172843.19837288657,-134806.28728346335,2991.52,27487.0,-24495.48,365129.46772503166,169743.4889242261,195385.97880080555,6182.448006014822,7061.550932185366,-879.1029261705444,0.0,0.0,0.0,412340.3468204697,377135.23822929803,35205.10859117168,8.537876262324568,0.18180021420537015,0.16627833687187463,5.551115123125783e-17,2.7755575615628914e-17,1799086.5322312769,1129105.8245040884,669980.7077271885,0.7932144391294522,0.4978209926295383,29.539344649991396,208.0,683.0,475.0,135.0,1485.0,1350.0,25.0,196.0,65.0,278.0,78.0
