thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
T2,seed42,6,257.0,63.0,330.0,43.0,425.24760011410217,0.1869900375412441,0.18699003754124413,2.7755575615628914e-17,62763.7586317611,0.16662354951619704,73360.2373617987,400000.0,66689.77273656594,6670.464625232755,0.909072477610244,0.16672443184141483,5335.181818925275,0.18463776421901323,0.002352273322230869,1.2579671907451389,True,41,OPTIMAL,6.683000000000001
T0,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.1862552695362151,0.0,62279.10945651827,0.16533691583444374,72793.76429982655,0.0,-3.3396485576986376e-12,72793.76429982655,-4.587822308437201e-17,0.0,-2.67171884615891e-13,0.1862552695362151,0.0,0.0,True,42,OPTIMAL,6.745000000000003
T1,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.1862552695362151,0.0,62279.10945651827,0.16533691583444374,72793.76429982655,200000.0,50870.94307193793,21922.821227888613,0.6988365495485049,0.2543547153596897,4069.6754457550346,0.18446095599525392,0.0017943135409611843,0.9633625644144805,True,41,OPTIMAL,6.745000000000003
T2,seed42,7,248.0,77.0,310.0,43.0,425.2476001141032,0.1862552695362151,0.1862552695362151,0.0,62279.10945651827,0.16533691583444374,72793.76429982655,400000.0,66197.7189540205,6596.045345806045,0.9093872200558563,0.16549429738505125,5295.81751632164,0.1839203518734548,0.0023349176627603108,1.253611599056699,True,40,OPTIMAL,6.745000000000003
T0,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.18613055286520835,5.551115123125783e-17,58277.36500329402,0.16226017653216956,68116.4006532008,0.0,-1.4879236059111975e-12,68116.4006532008,-2.1843837778314546e-17,0.0,-1.190338884728958e-13,0.1861305528652083,0.0,0.0,True,42,OPTIMAL,6.839000000000005
T1,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.18613055286520835,5.551115123125783e-17,58277.36500329402,0.16226017653216956,68116.4006532008,200000.0,50367.85248565402,17748.548167546774,0.7394379621156218,0.2518392624282701,4029.4281988523217,0.18435398427247862,0.001776568592729677,0.9544744618129563,True,41,OPTIMAL,6.839000000000005
T2,seed42,8,227.0,79.0,354.0,41.0,427.2476001141026,0.1861305528652083,0.18613055286520835,5.551115123125783e-17,58277.36500329402,0.16226017653216956,68116.4006532008,400000.0,62494.525882977454,5621.874770223347,0.9174666494953858,0.15623631470744365,4999.562070638196,0.18392625376524463,0.002204299099963669,1.1842758032100054,True,40,OPTIMAL,6.839000000000005
T0,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.18569396190042922,2.7755575615628914e-17,56661.16897711744,0.16170424936391964,66227.34036286456,0.0,-3.2422227475320897e-13,66227.34036286456,-4.895595579963967e-18,0.0,-2.5937781980256717e-14,0.1856939619004292,0.0,0.0,True,42,OPTIMAL,6.729000000000002
T1,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.18569396190042922,2.7755575615628914e-17,56661.16897711744,0.16170424936391964,66227.34036286456,200000.0,50340.638454460815,15886.701908403735,0.7601186787607759,0.2517031922723041,4027.2510763568653,0.18391835319760375,0.0017756087028254486,0.9562016366356307,True,40,OPTIMAL,6.729000000000002
T2,seed42,9,231.0,69.0,264.0,40.0,428.2476001141022,0.1856939619004292,0.18569396190042922,2.7755575615628914e-17,56661.16897711744,0.16170424936391964,66227.34036286456,400000.0,61053.45843377093,5173.88192909362,0.9218769483910189,0.15263364608442734,4884.276674701675,0.18354049195128141,0.0021534699491477793,1.1596876533349478,True,39,OPTIMAL,6.729000000000002
