solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh
36,631.0,1396.0,247.0,65.0,64.0,0.15081635957862774,0,0.05270792495834352,OPTIMAL,10.060000000000011,1554320.0,130381.79417475728,25218.4,6189.206752187545,0.0,180276.58775556515,3029.7573371681538,1187705.0507969828,2268096.0450061434,6059.5146743363075,325732.2452614388,98.13972526131921,411.1708152850888,474.8149521321564,13.403987503189107,0.018602747386807922,1.860274738680792,0.5236572998802463,0.09715134236884487,6059.5146743363075,325732.2452614388
37,630.0,1361.0,229.0,62.0,58.0,0.15063769111059275,0,0.025491641069095478,OPTIMAL,9.933999999999989,1500020.0,125826.9203883495,24082.4,5794.104058437827,0.0,185957.32699000518,6175.358199351654,1210897.1750030604,2268096.0450061434,12350.716398703307,325732.2452614388,96.20832245552158,411.6482446816756,474.8149521321564,13.30343687932125,0.03791677544478408,3.7916775444784077,0.5338826711810525,0.11799917612194194,12350.716398703307,325732.2452614388
38,622.0,1462.0,256.0,58.0,62.0,0.15003954221795202,0,0.058781127285731254,OPTIMAL,9.73199999999999,1571040.0,131784.32621359223,25658.8,6321.350019042684,0.0,176539.61606643433,1372.074463557533,1170527.7596129603,2268096.0450061434,2744.148927115066,325732.2452614388,99.15754458852774,411.82461394458096,474.8149521321564,13.266292037501625,0.008424554114722541,0.8424554114722541,0.516083859054474,0.08583713297289362,2744.148927115066,325732.2452614388
39,610.0,1458.0,246.0,56.0,54.0,0.14921062035183338,0,0.06480382194036911,OPTIMAL,9.920999999999992,1526560.0,128053.18834951456,24797.2,6061.110313268795,0.0,179512.51923012309,2841.728872680951,1183488.726794976,2268096.0450061434,5683.457745361902,325732.2452614388,98.25517497022739,414.2476001141024,474.8149521321564,12.755990885728497,0.017448250297726137,1.7448250297726138,0.5217983292201237,0.09571799968074468,5683.457745361902,325732.2452614388
40,659.0,1468.0,206.0,53.0,54.0,0.14853246863644257,0,0.03784039407261264,OPTIMAL,10.200000000000012,1495960.0,125486.35339805824,23713.2,5392.133864814131,0.0,182294.217406442,2505.4240727831457,1203602.803703292,2268096.0450061434,5010.848145566291,325732.2452614388,98.46166653180298,414.8887942223611,474.8149521321564,12.620950043948042,0.01538333468197013,1.5383334681970129,0.5306665942799754,0.09498332382396645,5010.848145566291,325732.2452614388
41,609.0,1463.0,226.0,63.0,59.0,0.14843681980020187,0,0.07928597353306285,OPTIMAL,9.756999999999993,1497360.0,125603.79029126214,24246.2,5651.4196380852445,0.0,181167.55399278004,1794.6718243351852,1199408.5581049696,2268096.0450061434,3589.3436486703704,325732.2452614388,98.89806928823106,416.3552465885044,474.8149521321564,12.312102911068568,0.01101930711768955,1.101930711768955,0.5288173579535168,0.09034191081071706,3589.3436486703704,325732.2452614388
42,604.0,1456.0,196.0,54.0,49.0,0.1468920340865669,0,0.08157288162157439,OPTIMAL,10.007000000000001,1412420.0,118478.72621359224,22521.4,4978.0048007593505,0.0,187187.11054029834,4019.2196527799038,1229157.711889016,2268096.0450061434,8038.4393055598075,325732.2452614388,97.53219418018992,419.2476001141024,474.8149521321564,11.702949068585312,0.024678058198100733,2.4678058198100734,0.5419337133431167,0.10596811519956824,8038.4393055598075,325732.2452614388
43,584.0,1467.0,202.0,52.0,51.0,0.14642312467571278,0,0.11362251578823987,OPTIMAL,9.871000000000013,1408240.0,118128.09320388349,22675.8,5039.106257937052,0.0,186258.7105126051,3122.4826860011735,1227153.1508826953,2268096.0450061434,6244.965372002347,325732.2452614388,98.08279178286755,419.86266966024624,474.8149521321564,11.573410278077167,0.019172082171324552,1.9172082171324552,0.5410499055296274,0.10032956800076867,6244.965372002347,325732.2452614388
44,562.0,1467.0,184.0,51.0,48.0,0.14513639262121478,0,0.48387216394986904,OPTIMAL,9.827999999999996,1345740.0,112885.37475728155,21612.8,4573.188552705713,0.0,190111.91478064883,3790.6646881188503,1249722.9966597706,2268096.0450061434,7581.329376237701,325732.2452614388,97.67252721014685,427.27841708578984,474.8149521321564,10.011591849183299,0.02327472789853146,2.3274727898531458,0.5510009152440393,0.10592486518513736,7581.329376237701,325732.2452614388
45,517.0,1272.0,94.0,42.0,97.0,0.14367838437625963,0,0.4428776816451152,OPTIMAL,11.012999999999977,1136140.0,95303.39417475728,18561.8,2485.754280239258,0.0,209525.42690167032,1140.9307944579725,1391511.8356369983,2268096.0450061434,2281.861588915945,325732.2452614388,99.29946708620005,468.2476001141023,474.8149521321564,1.3831392605821335,0.0070053291379994645,0.7005329137999464,0.613515392657558,0.09903263803663315,2281.861588915945,325732.2452614388
46,604.0,1456.0,0.0,0.0,0.0,0.14151787315108888,0,inf,OPTIMAL,6.104000000000008,924320.0,77535.1922330097,12446.400000000001,0.0,0.0,230994.5361586561,22637.83390378585,1434320.3495067067,2268096.0450061434,45275.6678075717,325732.2452614388,86.10034208580345,468.2476001141024,474.8149521321564,1.3831392605821113,0.13899657914196553,13.899657914196553,0.6323895994901846,0.23385501906549322,45275.6678075717,325732.2452614388
