route,global_solution_id,source_run,source_solution_id,month,monthly_peak_grid_kw,demand_charge_usd_kw_month,monthly_demand_charge_usd
H2,49,cold_start_20260830_174912,25,1,419.20155541500424,30.0,12576.046662450128
H2,49,cold_start_20260830_174912,25,2,419.2514917917524,30.0,12577.544753752572
H2,49,cold_start_20260830_174912,25,3,419.2514917917524,30.0,12577.544753752572
H2,49,cold_start_20260830_174912,25,4,419.2514917917524,30.0,12577.544753752572
H2,49,cold_start_20260830_174912,25,5,419.2514917917524,30.0,12577.544753752572
H2,49,cold_start_20260830_174912,25,6,419.2514917917524,30.0,12577.544753752572
H2,49,cold_start_20260830_174912,25,7,417.06332944790665,30.0,12511.8998834372
H2,49,cold_start_20260830_174912,25,8,419.2514917917524,30.0,12577.544753752572
H2,49,cold_start_20260830_174912,25,9,419.2623266816672,30.0,12577.869800450017
H2,49,cold_start_20260830_174912,25,10,419.2623266816672,30.0,12577.869800450017
H2,49,cold_start_20260830_174912,25,11,419.2623266816672,30.0,12577.869800450017
H2,49,cold_start_20260830_174912,25,12,424.2476001141024,30.0,12727.428003423072
H2,50,cold_start_20260830_174912,26,1,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,2,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,3,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,4,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,5,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,6,421.1881191042465,30.0,12635.643573127394
H2,50,cold_start_20260830_174912,26,7,417.81163839254106,30.0,12534.349151776232
H2,50,cold_start_20260830_174912,26,8,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,9,428.276106188594,30.0,12848.28318565782
H2,50,cold_start_20260830_174912,26,10,428.28234253770404,30.0,12848.470276131122
H2,50,cold_start_20260830_174912,26,11,428.2823425377037,30.0,12848.470276131111
H2,50,cold_start_20260830_174912,26,12,428.94762280145187,30.0,12868.428684043556
H2,51,cold_start_20260830_174912,27,1,429.47791262769454,30.0,12884.337378830836
H2,51,cold_start_20260830_174912,27,2,429.4779126276944,30.0,12884.337378830833
H2,51,cold_start_20260830_174912,27,3,429.4779126276944,30.0,12884.337378830833
H2,51,cold_start_20260830_174912,27,4,429.4779126276944,30.0,12884.337378830833
H2,51,cold_start_20260830_174912,27,5,429.2536724222156,30.0,12877.610172666467
H2,51,cold_start_20260830_174912,27,6,421.1881191042465,30.0,12635.643573127394
H2,51,cold_start_20260830_174912,27,7,417.81163839254106,30.0,12534.349151776232
H2,51,cold_start_20260830_174912,27,8,422.75292429079104,30.0,12682.58772872373
H2,51,cold_start_20260830_174912,27,9,429.42509473001314,30.0,12882.752841900394
H2,51,cold_start_20260830_174912,27,10,429.4779126276944,30.0,12884.337378830833
H2,51,cold_start_20260830_174912,27,11,429.4779126276944,30.0,12884.337378830833
H2,51,cold_start_20260830_174912,27,12,431.2476001141024,30.0,12937.428003423072
H2,52,cold_start_20260830_174912,28,1,425.20466736145863,30.0,12756.140020843759
H2,52,cold_start_20260830_174912,28,2,425.20466736145863,30.0,12756.140020843759
H2,52,cold_start_20260830_174912,28,3,425.20466736145863,30.0,12756.140020843759
H2,52,cold_start_20260830_174912,28,4,425.20466736145863,30.0,12756.140020843759
H2,52,cold_start_20260830_174912,28,5,425.20466736145863,30.0,12756.140020843759
H2,52,cold_start_20260830_174912,28,6,420.47175082189824,30.0,12614.152524656947
H2,52,cold_start_20260830_174912,28,7,417.81163839254106,30.0,12534.349151776232
H2,52,cold_start_20260830_174912,28,8,413.8463551817347,30.0,12415.39065545204
H2,52,cold_start_20260830_174912,28,9,425.06503592045584,30.0,12751.951077613676
H2,52,cold_start_20260830_174912,28,10,425.20466736145863,30.0,12756.140020843759
H2,52,cold_start_20260830_174912,28,11,429.5668151816717,30.0,12887.004455450151
H2,52,cold_start_20260830_174912,28,12,435.2476001141024,30.0,13057.428003423072
H2,53,cold_start_20260830_174912,29,1,436.1861824281034,30.0,13085.585472843102
H2,53,cold_start_20260830_174912,29,2,436.18618242810317,30.0,13085.585472843095
H2,53,cold_start_20260830_174912,29,3,436.18618242810317,30.0,13085.585472843095
H2,53,cold_start_20260830_174912,29,4,436.18618242810317,30.0,13085.585472843095
H2,53,cold_start_20260830_174912,29,5,436.18618242810317,30.0,13085.585472843095
H2,53,cold_start_20260830_174912,29,6,421.18811910424654,30.0,12635.643573127396
H2,53,cold_start_20260830_174912,29,7,417.8116383925411,30.0,12534.349151776234
H2,53,cold_start_20260830_174912,29,8,423.16619708123005,30.0,12694.985912436901
H2,53,cold_start_20260830_174912,29,9,432.3233993107606,30.0,12969.701979322817
H2,53,cold_start_20260830_174912,29,10,436.18618242810317,30.0,13085.585472843095
H2,53,cold_start_20260830_174912,29,11,436.18618242810317,30.0,13085.585472843095
H2,53,cold_start_20260830_174912,29,12,436.8806710097879,30.0,13106.420130293636
H2,54,cold_start_20260830_174912,30,1,427.51462023339553,30.0,12825.438607001866
H2,54,cold_start_20260830_174912,30,2,427.8096680508502,30.0,12834.290041525506
H2,54,cold_start_20260830_174912,30,3,427.8096680508497,30.0,12834.290041525492
H2,54,cold_start_20260830_174912,30,4,427.8096680508497,30.0,12834.290041525492
H2,54,cold_start_20260830_174912,30,5,419.1003776484003,30.0,12573.011329452009
H2,54,cold_start_20260830_174912,30,6,403.7595185917926,30.0,12112.785557753778
H2,54,cold_start_20260830_174912,30,7,391.0696699255027,30.0,11732.090097765082
H2,54,cold_start_20260830_174912,30,8,427.8096680508497,30.0,12834.290041525492
H2,54,cold_start_20260830_174912,30,9,426.69299829378167,30.0,12800.78994881345
H2,54,cold_start_20260830_174912,30,10,427.8096680508497,30.0,12834.290041525492
H2,54,cold_start_20260830_174912,30,11,432.5710033261694,30.0,12977.130099785081
H2,54,cold_start_20260830_174912,30,12,438.2476001141024,30.0,13147.428003423072
H2,55,cold_start_20260830_174912,31,1,441.36076263979095,30.0,13240.822879193729
H2,55,cold_start_20260830_174912,31,2,441.36076263979066,30.0,13240.82287919372
H2,55,cold_start_20260830_174912,31,3,441.36076263979066,30.0,13240.82287919372
H2,55,cold_start_20260830_174912,31,4,441.36076263979066,30.0,13240.82287919372
