solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated
20,589.0,1425.0,218.0,103.0,52.0,0.1607414032066769,0,0.0298682913779885,OPTIMAL,10.275,1467900.0,149508.85733150275,23526.0,5407.925923419065,0.0,186134.15762687995,4646.192141995394,1219212.154183221,2268096.0450061434,9292.384283990788,325732.2452614388,97.14723229917487,416.2476001141024,474.8149521321564,12.33477415887123,0.0285276770082512,2.85276770082512,0.5375487325008402,0.1091599868833772,cold_start_20260830_174912,20,True
21,615.0,1472.0,227.0,57.0,60.0,0.1603264142720194,0,0.0577258467432016,OPTIMAL,9.603999999999992,1505040.0,153291.64836719458,24388.8,5694.771139251599,0.0,180260.4866139377,1404.6253334583982,1195181.6592034455,2268096.0450061434,2809.2506669167965,325732.2452614388,99.13755831429522,416.708559535566,474.8149521321564,12.237692249509768,0.0086244168570478,0.8624416857047847,0.5269537248367312,0.0876674755825575,cold_start_20260830_174912,21,True
22,609.0,1471.0,209.0,62.0,54.0,0.159091688582614,0,0.0978114037596817,OPTIMAL,9.892,1458020.0,148502.55750833004,23400.4,5281.239011327019,0.0,183651.0331479187,2408.290322502183,1213101.532814448,2268096.0450061434,4816.580645004366,325732.2452614388,98.52130677417628,417.6075019108348,474.8149521321564,12.048367467037757,0.014786932258237,1.478693225823709,0.5348545690935069,0.0950151176222631,cold_start_20260830_174912,22,True
23,605.0,1460.0,193.0,63.0,50.0,0.1581494497185158,0,0.1155813332868311,OPTIMAL,9.980999999999996,1415000.0,144120.8754847581,22522.0,4916.395523362191,0.0,187138.8704183434,3611.957704596246,1230736.6668341735,2268096.0450061434,7223.915409192492,325732.2452614388,97.78225351825564,420.2040016631363,474.8149521321564,11.501522903562677,0.0221774648174436,2.217746481744367,0.5426298721096884,0.1035719456338969,cold_start_20260830_174912,23,True
24,594.0,1430.0,180.0,39.0,46.0,0.1568482658880926,0,0.1075589042729768,OPTIMAL,9.59999999999999,1351800.0,137683.81588713496,21460.0,4589.101717268653,0.0,192014.01392245136,6114.040998433911,1251561.234823651,2268096.0450061434,12228.081996867822,325732.2452614388,96.24597129244808,422.3718753759081,474.8149521321564,11.04495056879584,0.0375402870755191,3.7540287075519134,0.5518113915763478,0.1203119958119713,cold_start_20260830_174912,24,True
25,558.0,1460.0,193.0,34.0,44.0,0.1558592571612314,0,0.0611389306251701,OPTIMAL,9.569999999999991,1342800.0,136767.1460077266,21644.0,4739.926712814551,0.0,190352.69202444333,5140.589505568577,1245028.529136969,2268096.0450061434,10281.179011137154,325732.2452614388,96.84367170868046,424.2476001141024,474.8149521321564,10.649907251442135,0.0315632829131954,3.1563282913195434,0.5489311318531913,0.1139029526911741,cold_start_20260830_174912,25,True
26,572.0,1459.0,158.0,27.0,41.0,0.1543380188643187,0,0.133843256035098,OPTIMAL,9.317999999999978,1278480.0,130216.01193622156,20220.6,3930.816339337477,0.0,195686.02190468583,6074.958182728499,1276223.6745118392,2268096.0450061434,12149.916365456998,325732.2452614388,96.26996818945412,428.9476228014519,474.8149521321564,9.660043165181998,0.0373003181054588,3.7300318105458814,0.5626850226743296,0.1217030715066082,cold_start_20260830_174912,26,True
27,561.0,1429.0,147.0,33.0,37.0,0.1540310924193837,0,0.0507887125505124,OPTIMAL,9.52399999999998,1237280.0,126019.70093270775,19418.6,3746.307712482917,0.0,200172.7028791893,9232.367887144845,1291400.3023879195,2268096.0450061434,18464.73577428969,325732.2452614388,94.33131473997317,431.2476001141024,474.8149521321564,9.175648707441674,0.0566868526002685,5.66868526002685,0.5693763741757337,0.1420933087266285,cold_start_20260830_174912,27,True
28,557.0,1474.0,146.0,36.0,33.0,0.153152435855222,0,0.0982324539815809,OPTIMAL,11.146,1237780.0,126070.62703711934,19398.6,3712.8001502877673,0.0,198182.4068588791,7812.224273195477,1284758.9991176152,2268096.0450061434,15624.448546390957,325732.2452614388,95.20328466902302,435.2476001141024,474.8149521321564,8.333215253727122,0.0479671533097697,4.796715330976975,0.5664482339477539,0.1329343884019328,cold_start_20260830_174912,28,True
29,566.0,1471.0,132.0,47.0,37.0,0.1529465479376509,0,0.079617936896814,OPTIMAL,9.696,1229920.0,125270.06867576938,19137.4,3411.5617325620988,0.0,199078.4300663972,6659.489995249823,1296111.9137981487,2268096.0450061434,13318.979990499643,325732.2452614388,95.9110649362302,436.8806710097879,474.8149521321564,7.989276865023864,0.0408893506376981,4.08893506376981,0.5714537162797434,0.1266074080796596,cold_start_20260830_174912,29,True
