thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,lcoe_T0_original_usd_kwh,recovery_fraction,thermal_demand_kwh_th,estimated_chp_el_energy_kwh,heat_generated_kwh_th,heat_recoverable_kwh_th,heat_useful_kwh_th,heat_utilization_ratio,heat_credit_usd_per_year,adjusted_annual_cost_usd,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators
T1,seed42,14,251.0,113.0,300.0,29.0,439.2476001141031,0.1841112831778918,0.5,200000.0,63510.0,81655.71428571429,40827.857142857145,40827.857142857145,0.5,3266.2285714285717,414315.844645354,0.18267120810760543,0.001440075070286373,0.7821764345072458,True,42
T2,seed42,14,251.0,113.0,300.0,29.0,439.2476001141031,0.1841112831778918,0.8,400000.0,63510.0,81655.71428571429,65324.571428571435,65324.571428571435,0.8,5225.965714285715,412356.10750249686,0.18180716306543357,0.00230412011245823,1.2514822952116116,True,41
T0,seed42,15,249.0,114.0,288.0,28.0,440.24760011410217,0.1838903840195606,0.0,0.0,61320.0,78840.0,0.0,0.0,0.0,0.0,417081.05270942627,0.1838903840195606,0.0,0.0,True,45
T1,seed42,15,249.0,114.0,288.0,28.0,440.24760011410217,0.1838903840195606,0.5,200000.0,61320.0,78840.0,39420.0,39420.0,0.5,3153.6,413927.4527094263,0.18249996671031854,0.0013904173092420535,0.7561120265506398,True,42
T2,seed42,15,249.0,114.0,288.0,28.0,440.24760011410217,0.1838903840195606,0.8,400000.0,61320.0,78840.0,63072.0,63072.0,0.8,5045.76,412035.29270942626,0.18166571632477327,0.0022246676947873245,1.209779242481045,True,41
T0,seed42,16,241.0,129.0,227.0,26.0,442.2476001141025,0.1826997698082532,0.0,0.0,56940.0,73208.57142857143,0.0,0.0,0.0,0.0,414380.6253256319,0.1826997698082532,0.0,0.0,True,42
T1,seed42,16,241.0,129.0,227.0,26.0,442.2476001141025,0.1826997698082532,0.5,200000.0,56940.0,73208.57142857143,36604.28571428572,36604.28571428572,0.5,2928.3428571428576,411452.282468489,0.18140866802109987,0.0012911017871533315,0.7066794821407639,True,40
T2,seed42,16,241.0,129.0,227.0,26.0,442.2476001141025,0.1826997698082532,0.8,400000.0,56940.0,73208.57142857143,58566.85714285715,58566.85714285715,0.8,4685.3485714285725,409695.2767542033,0.18063400694880785,0.002065762859445347,1.1306871714252313,True,39
T0,seed43,0,229.0,118.0,180.0,25.0,443.24760011410217,0.1824317355828486,0.0,0.0,54750.0,70392.85714285714,0.0,0.0,0.0,0.0,413772.6979590656,0.18243173558284867,-8.326672684688674e-17,-4.5642676467917736e-14,True,43
T1,seed43,0,229.0,118.0,180.0,25.0,443.24760011410217,0.1824317355828486,0.5,200000.0,54750.0,70392.85714285714,35196.42857142857,35196.42857142857,0.5,2815.714285714286,410956.98367335135,0.1811902915567397,0.0012414440261088733,0.6804978432851068,True,41
T2,seed43,0,229.0,118.0,180.0,25.0,443.24760011410217,0.1824317355828486,0.8,400000.0,54750.0,70392.85714285714,56314.28571428572,56314.28571428572,0.8,4505.142857142858,409267.5551019228,0.1804454251410743,0.001986310441774275,1.0887965492562135,True,40
T0,seed43,1,223.0,134.0,191.0,25.0,443.2476001141024,0.1819924357681663,0.0,0.0,54750.0,70392.85714285714,0.0,0.0,0.0,0.0,412776.32378681266,0.18199243576816634,-5.551115123125783e-17,-3.0501900255882895e-14,True,43
T1,seed43,1,223.0,134.0,191.0,25.0,443.2476001141024,0.1819924357681663,0.5,200000.0,54750.0,70392.85714285714,35196.42857142857,35196.42857142857,0.5,2815.714285714286,409960.6095010984,0.18075099174205736,0.0012414440261089288,0.6821404531836479,True,40
T2,seed43,1,223.0,134.0,191.0,25.0,443.2476001141024,0.1819924357681663,0.8,400000.0,54750.0,70392.85714285714,56314.28571428572,56314.28571428572,0.8,4505.142857142858,408271.1809296698,0.18000612532639199,0.0019863104417743027,1.0914247250938458,True,39
T0,seed43,2,208.0,135.0,196.0,25.0,443.4132164387021,0.1818002142053701,0.0,0.0,54750.0,70392.85714285714,0.0,0.0,0.0,0.0,412340.3468204697,0.18180021420537015,-5.551115123125783e-17,-3.053415061906903e-14,True,42
T1,seed43,2,208.0,135.0,196.0,25.0,443.4132164387021,0.1818002142053701,0.5,200000.0,54750.0,70392.85714285714,35196.42857142857,35196.42857142857,0.5,2815.714285714286,409524.63253475545,0.18055877017926117,0.0012414440261089288,0.682861696029981,True,40
T2,seed43,2,208.0,135.0,196.0,25.0,443.4132164387021,0.1818002142053701,0.8,400000.0,54750.0,70392.85714285714,56314.28571428572,56314.28571428572,0.8,4505.142857142858,407835.2039633269,0.17981390376359577,0.0019863104417743305,1.092578713647994,True,39
T0,seed43,3,208.0,136.0,196.0,25.0,443.888325495238,0.1817663688987137,0.0,0.0,54750.0,70392.85714285714,0.0,0.0,0.0,0.0,412263.5824143003,0.18176636889871373,-2.7755575615628914e-17,-1.5269918073290694e-14,True,43
T1,seed43,3,208.0,136.0,196.0,25.0,443.888325495238,0.1817663688987137,0.5,200000.0,54750.0,70392.85714285714,35196.42857142857,35196.42857142857,0.5,2815.714285714286,409447.86812858604,0.18052492487260477,0.0012414440261089288,0.6829888464134435,True,41
T2,seed43,3,208.0,136.0,196.0,25.0,443.888325495238,0.1817663688987137,0.8,400000.0,54750.0,70392.85714285714,56314.28571428572,56314.28571428572,0.8,4505.142857142858,407758.43955715746,0.17978005845693937,0.0019863104417743305,1.0927821542615341,True,40
T0,seed43,4,207.0,137.0,196.0,25.0,444.4525024531778,0.1817269387936106,0.0,0.0,54750.0,70392.85714285714,0.0,0.0,0.0,0.0,412174.1511488618,0.18172693879361065,-5.551115123125783e-17,-3.0546462511153884e-14,True,43
T1,seed43,4,207.0,137.0,196.0,25.0,444.4525024531778,0.1817269387936106,0.5,200000.0,54750.0,70392.85714285714,35196.42857142857,35196.42857142857,0.5,2815.714285714286,409358.43686314754,0.18048549476750167,0.0012414440261089288,0.6831370375521767,True,41
T2,seed43,4,207.0,137.0,196.0,25.0,444.4525024531778,0.1817269387936106,0.8,400000.0,54750.0,70392.85714285714,56314.28571428572,56314.28571428572,0.8,4505.142857142858,407669.00829171896,0.1797406283518363,0.0019863104417743027,1.0930192600834918,True,40
T0,seed43,5,207.0,138.0,196.0,25.0,445.0569792098141,0.1816927970705297,0.0,0.0,54750.0,70392.85714285714,0.0,0.0,0.0,0.0,412096.71444177226,0.1816927970705297,0.0,0.0,True,43
T1,seed43,5,207.0,138.0,196.0,25.0,445.0569792098141,0.1816927970705297,0.5,200000.0,54750.0,70392.85714285714,35196.42857142857,35196.42857142857,0.5,2815.714285714286,409281.000156058,0.18045135304442075,0.0012414440261089565,0.683265405192178,True,41
T2,seed43,5,207.0,138.0,196.0,25.0,445.0569792098141,0.1816927970705297,0.8,400000.0,54750.0,70392.85714285714,56314.28571428572,56314.28571428572,0.8,4505.142857142858,407591.5715846294,0.17970648662875535,0.0019863104417743582,1.0932246483075,True,39
T0,seed42,17,249.0,230.0,274.0,23.0,445.2476001141024,0.1798323053306534,0.0,0.0,50370.0,64761.42857142857,0.0,0.0,0.0,0.0,407876.94048479234,0.17983230533065347,-8.326672684688674e-17,-4.630242975186587e-14,True,40
T1,seed42,17,249.0,230.0,274.0,23.0,445.2476001141024,0.1798323053306534,0.5,200000.0,50370.0,64761.42857142857,32380.714285714286,32380.714285714286,0.5,2590.457142857143,405286.4833419352,0.1786901768266332,0.001142128504020179,0.6351075252692637,True,38
T2,seed42,17,249.0,230.0,274.0,23.0,445.2476001141024,0.1798323053306534,0.8,400000.0,50370.0,64761.42857142857,51809.14285714286,51809.14285714286,0.8,4144.731428571429,403732.2090562209,0.17800489972422104,0.001827405606432353,1.016172040430859,True,38
T0,seed43,8,242.0,255.0,250.0,21.0,447.9349765967564,0.1786353756972715,0.0,0.0,45990.0,59130.00000000001,0.0,0.0,0.0,0.0,405162.1891171681,0.17863537569727153,-2.7755575615628914e-17,-1.5537558284460706e-14,True,38
T1,seed43,8,242.0,255.0,250.0,21.0,447.9349765967564,0.1786353756972715,0.5,200000.0,45990.0,59130.00000000001,29565.000000000004,29565.000000000004,0.5,2365.2000000000003,402796.98911716806,0.17759256271533996,0.0010428129819315402,0.5837662209185077,True,36
T2,seed43,8,242.0,255.0,250.0,21.0,447.9349765967564,0.1786353756972715,0.8,400000.0,45990.0,59130.00000000001,47304.00000000001,47304.00000000001,0.8,3784.3200000000006,401377.86911716807,0.17696687492618104,0.0016685007710904587,0.9340259534696091,True,36
T0,seed43,9,212.0,253.0,275.0,20.0,448.24760011410257,0.1785389203925819,0.0,0.0,43800.0,56314.28571428572,0.0,0.0,0.0,0.0,404943.41922208184,0.17853892039258196,-5.551115123125783e-17,-3.109190484024247e-14,True,38
T1,seed43,9,212.0,253.0,275.0,20.0,448.24760011410257,0.1785389203925819,0.5,200000.0,43800.0,56314.28571428572,28157.14285714286,28157.14285714286,0.5,2252.571428571429,402690.8477935104,0.1775457651716948,0.0009931552208871097,0.5562681899852993,True,36
