b1_source_run,b1_source_solution_id,h2_global_solution_id,h2_source_run,h2_source_solution_id,n_h2_dominators,objective_distance,b1_lcoe_usd_kwh,h2_lcoe_usd_kwh,h2_lcoe_advantage_usd_kwh,h2_lcoe_advantage_percent,b1_peak_kw,h2_peak_kw,h2_peak_advantage_kw,h2_peak_advantage_percent,b1_pv_kw,h2_pv_kw,delta_pv_h2_minus_b1_kw,b1_bsv_kwh,h2_bsv_kwh,delta_bsv_h2_minus_b1_kwh,b1_capex_usd,h2_capex_usd,h2_capex_advantage_usd,h2_capex_advantage_percent,b1_E_grid_kwh,h2_E_grid_kwh,h2_grid_energy_advantage_kwh,h2_grid_energy_advantage_percent,b1_grid_dependency_ratio,h2_grid_dependency_ratio,h2_grid_dependency_advantage_pp,b1_chp_kw,b1_biomethane_storage_nm3,h2_fuelcell_kw,h2_electrolyzer_kw,h2_tank_kg,delta_dispatchable_electric_kw_h2_minus_b1
seed43,3,35,cold_start_20260830_174912,11,43,0.4582270492414174,0.1817663688987137,0.1662783368718746,0.0154880320268391,8.520845809198923,443.888325495238,403.2476001141024,40.64072538113561,9.15561934092173,208.0,683.0,475.0,136.0,1485.0,1349.0,373672.0,1697000.0,-1323328.0,-354.1416001198912,1798964.0845697438,1129105.8245040884,669858.2600656555,37.23577729045462,0.7931604521469333,0.4978209926295383,29.533945951739504,25.0,196.0,65.0,278.0,78.0,40.0
seed43,4,35,cold_start_20260830_174912,11,43,0.4614011468084031,0.1817269387936106,0.1662783368718746,0.015448601921736,8.500997168769324,444.4525024531778,403.2476001141024,41.204902339075375,9.270934939423867,207.0,683.0,476.0,137.0,1485.0,1348.0,372892.0,1697000.0,-1324108.0,-355.0915546592579,1799505.1672615218,1129105.8245040884,670399.3427574334,37.25464949776409,0.7933990146597375,0.4978209926295383,29.55780220301992,25.0,196.0,65.0,278.0,78.0,40.0
seed43,5,35,cold_start_20260830_174912,11,43,0.46493484919275263,0.1816927970705297,0.1662783368718746,0.015414460198655111,8.483803676967728,445.0569792098141,403.2476001141024,41.80937909571168,9.394163230502087,207.0,683.0,476.0,138.0,1485.0,1347.0,373112.0,1697000.0,-1323888.0,-354.8232166212826,1799388.2972217211,1129105.8245040884,670282.4727176328,37.25057419527278,0.7933474868419196,0.4978209926295383,29.55264942123813,25.0,196.0,65.0,278.0,78.0,40.0
seed42,17,44,cold_start_20260830_174912,20,40,0.44400265440932524,0.1798323053306534,0.1607414032066769,0.01909090212397649,10.615946945057786,445.2476001141024,416.2476001141024,29.0,6.513229940502374,249.0,589.0,340.0,230.0,1425.0,1195.0,439668.0,1467900.0,-1028232.0,-233.86555309915664,1758377.6358924666,1219212.154183221,539165.4817092456,30.662667148606648,0.7752659503833771,0.5375487325008402,23.771721788253686,23.0,274.0,52.0,218.0,103.0,29.0
seed43,8,44,cold_start_20260830_174912,20,38,0.4388275910640267,0.1786353756972715,0.1607414032066769,0.0178939724905946,10.017037454506788,447.9349765967564,416.2476001141024,31.68737648265403,7.07410185366701,242.0,589.0,347.0,255.0,1425.0,1170.0,425960.0,1467900.0,-1041940.0,-244.60982251854634,1760303.2287829416,1219212.154183221,541091.0745997205,30.738515146269783,0.7761149412780594,0.5375487325008402,23.856620877721912,21.0,250.0,52.0,218.0,103.0,31.0
seed43,9,44,cold_start_20260830_174912,20,38,0.43902426663125454,0.1785389203925819,0.1607414032066769,0.017797517185905,9.96842433390477,448.24760011410257,416.2476001141024,32.00000000000017,7.138911617564599,212.0,589.0,377.0,253.0,1425.0,1172.0,395410.0,1467900.0,-1072490.0,-271.234920715207,1779584.0446846276,1219212.154183221,560371.8905014065,31.488925301120794,0.7846158228629191,0.5375487325008402,24.706709036207886,20.0,275.0,52.0,218.0,103.0,32.0
seed43,10,44,cold_start_20260830_174912,20,36,0.4189047764917614,0.1770125942932474,0.1607414032066769,0.01627119108657049,9.192109268572647,448.6937270185009,416.2476001141024,32.44612690439851,7.2312414795718025,206.0,589.0,383.0,290.0,1425.0,1135.0,390584.0,1467900.0,-1077316.0,-275.82184626098353,1776410.384651965,1219212.154183221,557198.230468744,31.366526298364917,0.7832165611166406,0.5375487325008402,24.566782861580037,20.0,232.0,52.0,218.0,103.0,32.0
seed43,11,44,cold_start_20260830_174912,20,36,0.4191762803655023,0.176811587805854,0.1607414032066769,0.016070184599177084,9.088875225091453,449.2476001141023,416.2476001141024,32.999999999999886,7.345615200085291,206.0,589.0,383.0,291.0,1425.0,1134.0,384214.0,1467900.0,-1083686.0,-282.05271020837347,1777331.0496621565,1219212.154183221,558118.8954789354,31.402078728384637,0.7836224808801439,0.5375487325008402,24.60737483793036,19.0,217.0,52.0,218.0,103.0,33.0
seed43,12,44,cold_start_20260830_174912,20,35,0.42248052323824137,0.1760417945530227,0.1607414032066769,0.01530039134634581,8.69134024973679,451.6051142380329,416.2476001141024,35.357514123930514,7.829298873992424,206.0,589.0,383.0,313.0,1425.0,1112.0,384084.0,1467900.0,-1083816.0,-282.18202268253816,1774133.3141789802,1219212.154183221,554921.1599957591,31.27843638134721,0.7822126043053766,0.5375487325008402,24.46638718045364,18.0,212.0,52.0,218.0,103.0,34.0
seed43,13,44,cold_start_20260830_174912,20,36,0.4539479321498992,0.1756872637582665,0.1607414032066769,0.014945860551589585,8.507082546492416,457.263901370698,416.2476001141024,41.016301256595625,8.969940800847132,206.0,589.0,383.0,323.0,1425.0,1102.0,385636.0,1467900.0,-1082264.0,-280.64392328517044,1772420.2215997349,1219212.154183221,553208.0674165138,31.212015112150116,0.7814573044656643,0.5375487325008402,24.390857196482408,18.0,208.0,52.0,218.0,103.0,34.0
seed43,14,53,cold_start_20260830_174912,29,28,0.34517379968540307,0.1682453963728939,0.1529465479376509,0.015298848435243012,9.093175067527623,457.8096680508502,436.8806710097879,20.928997041062303,4.571549816798028,242.0,566.0,324.0,575.0,1471.0,896.0,486802.0,1229920.0,-743118.0,-152.65302936306753,1698585.0482895465,1296111.9137981487,402473.13449139777,23.69461187102071,0.7489034919969385,0.5714537162797434,17.74497757171951,21.0,191.0,37.0,132.0,47.0,16.0
seed43,15,53,cold_start_20260830_174912,29,26,0.34538380291486104,0.167261545367826,0.1529465479376509,0.014314997430175114,8.558451016756365,461.13987986295103,436.8806710097879,24.25920885316316,5.260705029539605,266.0,566.0,300.0,619.0,1471.0,852.0,523994.0,1229920.0,-705926.0,-134.72024488830024,1676513.7955029842,1296111.9137981487,380401.88170483545,22.690053772609016,0.7391723111524773,0.5714537162797434,16.77185948727339,22.0,187.0,37.0,132.0,47.0,15.0
seed42,23,53,cold_start_20260830_174912,29,23,0.33699028965802624,0.166196214672857,0.1529465479376509,0.013249666735206111,7.972303557747656,462.5668151816717,436.8806710097879,25.686144171883825,5.552958692420612,232.0,566.0,334.0,647.0,1471.0,824.0,520304.0,1229920.0,-709616.0,-136.38488268396938,1682983.170051218,1296111.9137981487,386871.25625306927,22.987232619877933,0.7420246482757125,0.5714537162797434,17.057093199596906,28.0,182.0,37.0,132.0,47.0,9.0
seed43,16,60,cold_start_20260830_174912,36,1,0.018480470430646777,0.1426389278527557,0.1422749667151897,0.0003639611375660101,0.2551625583877933,468.2476001141024,466.2476001141024,2.0,0.42712445285627537,304.0,314.0,10.0,1500.0,1439.0,-61.0,745220.0,679980.0,65240.0,8.754461769678752,1507164.3957021954,1511266.367488774,-4101.9717865786515,-0.27216485462871637,0.6645064255636992,0.6663149785108331,-0.18085529471338901,17.0,250.0,2.0,15.0,28.0,-15.0
