hour_of_week,t_global,hour,demand_kw,pv_kw,p_grid_kw,p_pv_used_kw,p_pv_curtail_kw,p_bat_ch_kw,p_bat_dis_kw,p_elz_kw,p_fc_kw,soc_bat_kwh,h2_level_kg,p_unserved_kw,blackout_flag
70,4354.0,4354.0,417.198408042129,0.0,332.68319669450716,0.0,0.0,0.0,0.0,0.0,87.0,82.17,50.91764557396709,-0.0,0.0
71,4355.0,4355.0,420.47738375815175,0.0,336.25185677336526,0.0,0.0,0.0,0.0,0.0,87.0,82.17,45.697123521761874,-0.0,0.0
72,4356.0,4356.0,418.87497922663033,0.0,334.29015541200016,0.0,0.0,0.0,0.0,0.0,87.0,82.17,41.01724076149263,-0.0,0.0
73,4357.0,4357.0,419.0037170223342,0.0,333.89654460552384,0.0,0.0,0.0,0.0,0.0,87.0,82.17,36.6027411133163,-0.0,0.0
74,4358.0,4358.0,422.83515370244925,0.0,337.3849927195005,0.0,0.0,0.0,0.0,0.0,87.0,82.17,31.382219061111073,-0.0,0.0
75,4359.0,4359.0,425.8275487319115,0.0,338.8275487319115,0.0,0.0,0.0,0.0,0.0,87.0,82.17,26.161697008905854,-0.0,0.0
76,4360.0,4360.0,423.17132829294405,0.0,337.1347006157455,0.0,0.0,0.0,0.0,0.0,87.0,82.17,21.53198327870252,-0.0,0.0
77,4361.0,4361.0,319.9119394133187,0.0,234.57304212365213,0.0,0.0,0.0,0.0,0.0,87.0,82.17,16.60386813059176,-0.0,0.0
78,4362.0,4362.0,319.8048423818086,0.0,234.80665451566495,0.0,0.0,0.0,0.0,0.0,87.0,82.17,11.835618406241714,-0.0,0.0
79,4363.0,4363.0,151.63355810521776,183.55008519349502,0.0,183.55008519349502,0.0,0.0,0.0,34.85761564888989,0.0,82.17,12.28522488752269,-0.0,0.0
80,4364.0,4364.0,149.98282727579385,354.59153541191114,0.0,354.59153541191114,0.0,0.0,0.0,204.33853943032818,0.0,82.17,16.492441237248986,-0.0,0.0
81,4365.0,4365.0,148.60134599497175,501.46815848222445,0.0,497.8513900135872,0.0,0.0,0.0,355.4219312738681,0.0,82.17,24.21883792909226,-0.0,0.0
82,4366.0,4366.0,116.28125195628445,614.1705552672889,0.0,593.2653248726785,0.0,99.02710995929493,0.0,374.0,0.0,173.46848427469507,32.07362340764011,-0.0,0.0
83,4367.0,4367.0,117.806266155407,685.0182436757195,0.0,661.7014889310705,0.0,166.93150401798073,0.0,374.0,0.0,312.404023785392,39.92840888618797,-0.0,0.0
84,4368.0,4368.0,121.58983863633638,709.0,0.0,514.096868241834,176.09042236326007,3.026189652361917,0.0,374.0,0.0,401.2127082375234,47.78319436473582,-0.0,0.0
85,4369.0,4369.0,118.53516871804615,685.0182436757195,0.0,546.8264748212036,117.6830558231346,47.58436343072654,0.0,374.0,0.0,448.6617053723172,55.637979843283674,-0.0,0.0
86,4370.0,4370.0,121.03740134531834,614.170555267289,0.0,601.5415408522963,0.0,104.42609410334768,0.0,374.0,0.0,547.8000000000001,63.49276532183153,-0.0,0.0
87,4371.0,4371.0,117.84481392444647,501.46815848222445,0.0,487.67203666013097,0.0,0.0,0.0,374.0,0.0,547.8000000000001,71.34755080037938,-0.0,0.0
88,4372.0,4372.0,261.4173091116578,354.59153541191114,0.0,354.59153541191114,0.0,0.0,0.0,90.16641928961644,0.0,547.8000000000001,73.23316991596343,-0.0,0.0
89,4373.0,4373.0,257.35159708469064,183.55008519349528,67.57876672729759,183.55008519349528,0.0,0.0,0.0,0.0,0.0,547.8000000000001,72.96720510437709,-0.0,0.0
90,4374.0,4374.0,257.507891953479,8.68498777693885e-14,156.70132836504925,0.0,0.0,0.0,1.3737100909845591e-13,0.0,87.0,547.8,67.74668305217187,-0.0,0.0
91,4375.0,4375.0,340.45581883787935,0.0,0.0,0.0,0.0,0.0,240.1606267798515,0.0,87.0,281.0190653078074,62.52616099996665,-0.0,0.0
92,4376.0,4376.0,338.9213929149829,0.0,54.47700823875353,0.0,0.0,0.0,183.3297797896467,0.0,87.0,82.17,57.30563894776143,-0.0,0.0
