route,global_solution_id,source_run,source_solution_id,P_peak_grid_opt_kw,replay_peak_kw,lcoe_original_usd_kwh,replay_lcoe_usd_kwh,E_load_total_kwh,demand_charge_usd_kw_month,d1_annual_peak_charge_usd,d2_monthly_demand_charge_usd,d2_minus_d1_usd,d2_vs_d1_percent,d2_lcoe_increment_usd_kwh,lcoe_D2_usd_kwh,lcoe_D2_increase_percent,replay_valid,solve_time_sec,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,biomethane_storage_nm3,chp_kw,globally_nondominated_D2
H2,44,cold_start_20260830_174912,20,416.2476001141024,416.2476001141024,0.1607414032066769,0.16074140320667693,2268096.0450061434,30.0,149849.13604107685,148559.854368048,-1289.2816730288614,99.13961354259965,0.0654998075126248,0.2262412107193017,40.74856023771731,True,12.582999999999984,589.0,1425.0,218.0,103.0,52.0,,,True
H2,46,cold_start_20260830_174912,22,417.6075019108348,417.6075019108348,0.159091688582614,0.159091688582614,2268096.0450061434,30.0,150338.70068790053,150195.39522706706,-143.30546083347872,99.90467826303023,0.06622091492014406,0.22531260350275806,41.62437114730636,True,12.829999999999991,609.0,1471.0,209.0,62.0,54.0,,,True
H2,47,cold_start_20260830_174912,23,420.2040016631363,420.2040016631363,0.1581494497185158,0.15814944971851586,2268096.0450061434,30.0,151273.44059872907,150841.89024689523,-431.55035183383734,99.71472166553112,0.06650595356356995,0.22465540328208575,42.052598780420276,True,12.534999999999993,605.0,1460.0,193.0,63.0,50.0,,,True
H2,48,cold_start_20260830_174912,24,422.3718753759081,422.3718753759081,0.1568482658880926,0.15684826588809264,2268096.0450061434,30.0,152053.87513532693,151692.7221799868,-361.1529553401342,99.76248355721371,0.06688108403256614,0.22372934992065874,42.64062701227705,True,12.239999999999993,594.0,1430.0,180.0,39.0,46.0,,,True
H2,49,cold_start_20260830_174912,25,424.2476001141024,424.2476001141024,0.1558592571612314,0.15585925716123147,2268096.0450061434,30.0,152729.13604107685,151014.25247317587,-1714.883567900979,98.8771732674244,0.06658194779964305,0.22244120496087444,42.71927700179282,True,12.507,558.0,1460.0,193.0,34.0,44.0,,,True
H2,50,cold_start_20260830_174912,26,428.9476228014519,428.94762280145187,0.1543380188643187,0.15433801886431872,2268096.0450061434,30.0,154421.1442085227,153673.34426081416,-747.799947708525,99.51573992568095,0.06775433721123478,0.22209235607555347,43.899965614304556,True,11.899999999999995,572.0,1459.0,158.0,27.0,41.0,,,True
H2,51,cold_start_20260830_174912,27,431.2476001141024,431.2476001141024,0.1540310924193837,0.15403109241938376,2268096.0450061434,30.0,155249.13604107685,153856.39574460228,-1392.7402964745706,99.10289980866234,0.0678350443242299,0.2218661367436136,44.039838488929234,True,12.193,561.0,1429.0,147.0,33.0,37.0,,,True
H2,52,cold_start_20260830_174912,28,435.2476001141024,435.2476001141024,0.153152435855222,0.15315243585522206,2268096.0450061434,30.0,156689.13604107685,152797.11599343465,-3892.0200476422033,97.51608813094617,0.06736800953815904,0.22052044539338106,43.987553421509624,True,11.882999999999983,557.0,1474.0,146.0,36.0,33.0,,,True
H2,54,cold_start_20260830_174912,30,438.2476001141024,438.2476001141024,0.1514607160103072,0.15146071601030728,2268096.0450061434,30.0,157769.13604107685,152340.12385162179,-5429.012189455068,96.55888830623908,0.06716652241735607,0.21862723842766327,44.345837116460785,True,11.807999999999987,503.0,1482.0,149.0,28.0,30.0,,,True
H2,56,cold_start_20260830_174912,32,443.8201519946388,443.82015199463876,0.1481620181154153,0.14816201811541538,2268096.0450061434,30.0,159775.25471806995,157857.83301137548,-1917.4217066944693,98.79992573939073,0.06959927175877065,0.21776128987418594,46.9751105202645,True,13.387999999999979,481.0,1484.0,96.0,35.0,26.0,,,True
H2,57,cold_start_20260830_174912,33,457.2476001141024,457.2476001141024,0.1462597824230723,0.14625978242307236,2268096.0450061434,30.0,164609.13604107685,157435.47684401946,-7173.659197057394,95.64200422310262,0.06941305558495123,0.21567283800802353,47.458743910999694,True,9.536999999999983,462.0,1488.0,64.0,17.0,11.0,,,True
H2,59,cold_start_20260830_174912,35,464.2476001141024,464.2476001141024,0.1428990508278387,0.14289905082783871,2268096.0450061434,30.0,167129.13604107685,160505.7358980306,-6623.400143046252,96.03695663129716,0.07076672800141312,0.2136657788292518,49.52218198193014,True,13.771999999999991,425.0,1486.0,16.0,14.0,4.0,,,True
H2,60,cold_start_20260830_174912,36,466.2476001141024,466.2476001141024,0.1422749667151897,0.14227496671518972,2268096.0450061434,30.0,167849.13604107685,160904.0640310699,-6945.072010006959,95.86231292348903,0.07094235025247093,0.2132173169676606,49.86284789964876,True,9.77799999999998,314.0,1439.0,15.0,28.0,2.0,,,True
