global_solution_id,solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,source_run,source_solution_id,globally_nondominated,peak_normalized,lcoe_normalized,knee_distance,route,biomethane_storage_nm3,chp_kw,biomethane_fuel_opex_annual_usd,chp_variable_opex_annual_usd,variable_biomethane_opex_annual_usd,variable_dispatchable_opex_annual_usd,peak_norm,lcoe_norm,globally_dominated_cross_route
30,6,698.0,1445.0,298.0,64.0,72.0,0.168111081056778,0,0.1320178637440135,OPTIMAL,11.509999999999978,1743900.0,177620.0669666923,28450.0,7552.431333827272,0.0,167669.57976606593,543.8937209801127,1115259.0277425323,2268096.0450061434,1087.7874419602254,325732.2452614388,99.6660485850619,396.2476001141024,474.8149521321564,16.54694142744396,0.003339514149381,0.3339514149381026,0.4917159615872931,0.0770969083874749,cold_start_20260830_174912,6,True,0.391304347826087,0.4985332613230507,0.0778965736023676,H2,,,,,,,,,False
31,7,685.0,1437.0,289.0,88.0,70.0,0.1678128710398972,0,0.0538599807852005,OPTIMAL,10.005999999999998,1722940.0,175485.24466975906,27990.8,7308.592864950204,0.0,169831.07157200755,904.5878957756668,1127985.7336330975,2268096.0450061434,1809.1757915513333,325732.2452614388,99.44458191724334,398.2476001141024,474.8149521321564,16.125724700586687,0.0055541808275666,0.5554180827566688,0.4973271463158176,0.0801532527749393,cold_start_20260830_174912,7,True,0.408695652173913,0.4927790054659509,0.0696679377015783,H2,,,,,,,,,False
32,8,669.0,1444.0,299.0,75.0,69.0,0.1674704637923121,0,0.0414070554943513,OPTIMAL,9.696999999999992,1719380.0,175122.65080634865,28144.6,7423.120725440836,0.0,169148.7250508982,876.5295383966329,1123567.6958268038,2268096.0450061434,1753.0590767932658,325732.2452614388,99.4618097832512,399.2476001141024,474.8149521321564,15.915116337158054,0.0053819021674879,0.5381902167487987,0.495379240354771,0.0796887882207036,cold_start_20260830_174912,8,True,0.417391304347826,0.4861719205311828,0.0681910976438149,H2,,,,,,,,,False
33,9,668.0,1447.0,289.0,81.0,70.0,0.1669851234583562,0,0.0366944080342398,OPTIMAL,9.617999999999997,1703940.0,173550.05270211922,27822.8,7231.233627557205,0.0,170134.2117610839,703.1797098603678,1130946.573094544,2268096.0450061434,1406.3594197207356,325732.2452614388,99.56824679159658,399.9081249317324,474.8149521321564,15.776004286313006,0.0043175320840341,0.4317532084034128,0.4986325758049989,0.0791124184547839,cold_start_20260830_174912,9,True,0.4231349984141739,0.4768068009803233,0.0707518321614748,H2,,,,,,,,,False
34,10,668.0,1448.0,289.0,67.0,68.0,0.1664921591060872,0,0.0597997674520777,OPTIMAL,11.397999999999987,1693160.0,172452.08589100564,27665.2,7229.745817777343,0.0,170273.17588426694,911.667684810002,1130900.056699333,2268096.0450061434,1823.335369620004,325732.2452614388,99.44023491805162,400.2476001141024,474.8149521321564,15.70450797372942,0.0055976508194838,0.559765081948384,0.4986120667990803,0.0803894608393458,cold_start_20260830_174912,10,True,0.4260869565217391,0.4672945684904294,0.0753906466636639,H2,,,,,,,,,False
35,11,683.0,1485.0,278.0,78.0,65.0,0.1662783368718746,0,0.0635811772258904,OPTIMAL,9.761,1697000.0,172843.19837288657,27487.0,7061.550932185366,0.0,169743.4889242261,539.4503551612465,1129105.8245040884,2268096.0450061434,1078.900710322493,325732.2452614388,99.66877681715036,403.2476001141024,474.8149521321564,15.0726828834435,0.0033122318284962,0.3312231828496277,0.4978209926295383,0.077985380722927,cold_start_20260830_174912,11,True,0.4521739130434782,0.46316865797788,0.059861842108616,H2,,,,,,,,,False
36,12,696.0,1460.0,255.0,67.0,65.0,0.1652410276253437,0,0.0403979008391921,OPTIMAL,9.908999999999995,1651900.0,168249.66375496247,26521.0,6611.05829281858,0.0,173400.7991820119,1019.639141863342,1151247.011884717,2268096.0450061434,2039.278283726684,325732.2452614388,99.37394031036445,403.6642641627534,474.8149521321564,14.984929950057568,0.0062605968963555,0.6260596896355537,0.5075830075271784,0.0823980480254323,cold_start_20260830_174912,12,True,0.4557970786839217,0.4431527548572944,0.0714532579430354,H2,,,,,,,,,False
37,13,674.0,1412.0,262.0,61.0,64.0,0.1651489040904277,0,0.0291098076749496,OPTIMAL,9.779999999999982,1628440.0,165860.21093597135,26294.8,6678.120285442492,0.0,175740.4449831841,2485.578788175764,1160003.598876407,2268096.0450061434,4971.157576351527,325732.2452614388,98.47385156100783,404.2476001141024,474.8149521321564,14.862074520014868,0.0152614843899214,1.5261484389921491,0.5114437730406011,0.0919780503460116,cold_start_20260830_174912,13,True,0.4608695652173913,0.44137514055744,0.0691234314435029,H2,,,,,,,,,False
38,14,657.0,1380.0,256.0,70.0,63.0,0.1648750254705174,0,0.0454611398479905,OPTIMAL,9.845999999999984,1596500.0,162607.0513861599,25759.0,6483.455522609953,0.0,179102.88628119783,3880.707262072016,1175909.27465165,2268096.0450061434,7761.414524144033,325732.2452614388,97.61724095877749,405.2476001141024,474.8149521321564,14.651466156586237,0.0238275904122251,2.382759041222516,0.5184565606208553,0.1015960745053534,cold_start_20260830_174912,14,True,0.4695652173913043,0.436090382958626,0.0667115647595379,H2,,,,,,,,,False
39,15,637.0,1333.0,256.0,49.0,64.0,0.1643237486272318,0,0.04680842220689,OPTIMAL,9.642999999999992,1554860.0,158365.9254107639,25265.2,6405.368970627467,0.0,182665.54998061672,5852.673993573475,1190457.8545674356,2268096.0450061434,11705.34798714695,325732.2452614388,96.40645095552269,406.2318256052895,474.8149521321564,14.444180036642573,0.0359354904447731,3.593549044477319,0.5248710067585393,0.114666141458554,cold_start_20260830_174912,15,True,0.478123699923366,0.4254529535471664,0.0681816021956868,H2,,,,,,,,,False
