solution_id,pv_kw,bsv_kwh,electrolyzer_kw,h2_tank_kg,fuelcell_kw,lcoe_usd_kwh,rank,crowding_distance,milp_status,solve_time_sec,capex_total_usd,annualized_capex_usd,fixed_opex_annual_usd,variable_h2_opex_annual_usd,degradation_opex_annual_usd,grid_opex_annual_usd,grid_peak_opex_annual_usd,E_grid_total_kwh,E_load_total_kwh,E_grid_peak_opt_kwh,E_grid_peak_ref_kwh,R_peak_percent,P_peak_grid_opt_kw,P_peak_grid_ref_kw,Peak_reduction_percent,peak_grid_dependency_ratio,peak_grid_dependency_percent,total_grid_dependency_ratio,grid_dependency_objective,E_grid_peak_opt_kWh,E_grid_peak_ref_kWh,scenario,label
6,748.0,797.0,378.0,350.0,89.0,0.1988838678514786,0,0.2044859153220588,OPTIMAL,13.328000000000005,2005040.0,168189.7631067961,32554.5,18923.16219302441,0.0,231420.28878964277,96569.724554897,1174917.2602932486,2268096.0450061434,275913.4987282772,325732.2452614388,15.294385882237773,367.4791496889529,474.8149521321564,22.60581768986257,0.8470561411776223,84.70561411776222,0.5180191830412835,0.950659977785879,275913.4987282772,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
7,738.0,794.0,352.0,353.0,87.0,0.1985122140788621,0,0.2015020575224487,OPTIMAL,12.731999999999996,1941580.0,162866.51650485437,31338.0,17765.19299897785,0.0,238275.05813384775,101913.96831241588,1200256.6987497816,2268096.0450061434,291182.7666069025,325732.2452614388,10.606711235114652,369.4791496889529,474.8149521321564,22.18460096300529,0.8939328876488535,89.39328876488534,0.5291913018377185,0.9997711480163972,291182.7666069025,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
8,720.0,892.0,348.0,355.0,86.0,0.1981255777590217,0,0.1146174087669178,OPTIMAL,13.662999999999997,1937040.0,162485.6854368932,31510.0,17434.57142124792,0.0,237937.5824716532,103484.38112605698,1192024.335997471,2268096.0450061434,295669.6603601628,325732.2452614388,9.229232088197836,370.98307097262176,474.8149521321564,21.8678625627263,0.9077076791180216,90.77076791180215,0.5255616659717962,1.012820012312381,295669.6603601628,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
9,716.0,780.0,346.0,363.0,85.0,0.1980832409729215,0,0.1535635117616605,OPTIMAL,12.868,1907900.0,160041.3203883495,30783.0,17315.401820841456,0.0,241132.0932234912,103286.04927478178,1214076.6242526774,2268096.0450061434,295102.997927948,325732.2452614388,9.403197804045204,371.4791496889529,474.8149521321564,21.76338423614803,0.905968021959548,90.5968021959548,0.5352844853840345,1.013024919036355,295102.997927948,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
10,716.0,764.0,337.0,360.0,84.0,0.1978020835440784,0,0.1462668895026445,OPTIMAL,12.408000000000008,1883280.0,157976.10873786407,30278.0,16942.64087334378,0.0,243437.3737690912,104562.70678421648,1224581.704044545,2268096.0450061434,298750.5908120471,325732.2452614388,8.283384541108497,374.40095733201247,474.8149521321564,21.14802711018996,0.917166154588915,91.71661545889152,0.5399161586392291,1.025149386316761,298750.5908120471,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
11,754.0,795.0,340.0,375.0,82.0,0.197688177600579,0,0.1035336627984015,OPTIMAL,12.553999999999997,1940500.0,162775.9223300971,30960.5,17393.127529883626,0.0,237246.2239003647,98554.09706455884,1206197.3133755403,2268096.0450061434,281583.1344701681,325732.2452614388,13.55380421604736,374.4791496889529,474.8149521321564,21.131559145862123,0.8644619578395264,86.44619578395265,0.5318105095378681,0.9708240597471,281583.1344701681,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
12,683.0,790.0,357.0,363.0,81.0,0.1967125196983638,0,0.3568180101854974,OPTIMAL,13.718,1893900.0,158866.95145631066,30792.0,17390.755494554996,0.0,239113.18098018647,99742.45320406563,1214116.6229000408,2268096.0450061434,284978.4377259019,325732.2452614388,12.511444024470809,375.4791496889529,474.8149521321564,20.92095078243348,0.8748855597552919,87.4885559755292,0.5353021207251178,0.9819459839003156,284978.4377259019,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
13,695.0,802.0,358.0,360.0,78.0,0.1955951514923496,0,0.1104521105291455,OPTIMAL,13.385999999999996,1904840.0,159784.6368932039,30883.0,17568.803550676686,0.0,235392.1490782952,95033.06555003612,1207250.267950402,2268096.0450061434,271523.0444286746,325732.2452614388,16.64225805745908,378.4791496889529,474.8149521321564,20.289125692147568,0.8335774194254092,83.35774194254093,0.5322747555635952,0.9400323705381284,271523.0444286746,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
14,693.0,798.0,358.0,372.0,77.0,0.1955467961195718,0,0.1823570677388899,OPTIMAL,13.120000000000005,1907860.0,160037.96504854367,30874.0,17546.756300757334,0.0,235060.19354312244,94100.57314805272,1208589.583056806,2268096.0450061434,268858.7804230078,325732.2452614388,17.460188748824446,379.4791496889648,474.8149521321564,20.078517328716423,0.8253981125117555,82.53981125117555,0.5328652574999453,0.9319711640117446,268858.7804230078,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
15,689.0,783.0,352.0,398.0,74.0,0.1951910093055477,0,0.2107388045547559,OPTIMAL,12.505000000000004,1900260.0,159400.4504854369,30550.5,17275.32878154699,0.0,235485.6769596862,92590.98805149522,1217176.9395350693,2268096.0450061434,264545.6801471292,325732.2452614388,18.784313191099667,382.4791496889529,474.8149521321564,19.446692238433027,0.8121568680890033,81.21568680890033,0.5366514095445956,0.9194871499979224,264545.6801471292,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
16,609.0,796.0,345.0,376.0,69.0,0.1941718201020085,0,0.535790585396828,OPTIMAL,13.762,1789420.0,150102.80388349513,29215.0,15800.36370750087,0.0,245282.169634014,99830.808664031,1254906.621697118,2268096.0450061434,285230.88189723145,325732.2452614388,12.433943508325427,387.4791496889529,474.8149521321564,18.39365042128984,0.8756605649167457,87.56605649167457,0.5532863674182364,0.986317838400393,285230.88189723145,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
17,609.0,800.0,347.0,401.0,64.0,0.1934071952988869,0,inf,OPTIMAL,13.117000000000004,1802800.0,151225.16504854368,29272.0,15731.368923738788,0.0,242437.5607608537,94606.73964716672,1255843.7778450565,2268096.0450061434,270304.9704204763,325732.2452614388,17.016207528510275,392.4791496889529,474.8149521321564,17.340608604146656,0.8298379247148973,82.98379247148972,0.5536995580985877,0.9405778363346148,270304.9704204763,325732.2452614388,tariff_035_with_h2_no_penalty,"0,35 USD/kWh | Sem penalização"
0,810.0,776.0,356.0,352.0,93.0,0.1894463713813998,0,inf,OPTIMAL,11.743000000000004,2024820.0,169848.97864077668,32347.0,18534.547026336404,0.0,208952.04000380487,45359.35644258661,1181336.603293295,2268096.0450061434,90718.71288517324,325732.2452614388,72.14929924657577,363.6519341950256,474.8149521321564,23.411861281527337,0.2785070075342424,27.85070075342424,0.5208494613331488,0.3826768998008721,90718.71288517324,325732.2452614388,tariff_050_with_h2,"0,50 USD/kWh | Com penalização"
1,812.0,781.0,344.0,329.0,89.0,0.1885985964087278,0,0.1583806241935794,OPTIMAL,11.68,1984920.0,166502.02718446602,31620.5,18027.1290992691,0.0,211610.07432461044,47120.30189240535,1190839.086666178,2268096.0450061434,94240.6037848107,325732.2452614388,71.06807657032192,367.4791496889529,474.8149521321564,22.60581768986257,0.2893192342967808,28.931923429678086,0.5250390913948058,0.394327052575742,94240.6037848107,325732.2452614388,tariff_050_with_h2,"0,50 USD/kWh | Com penalização"
2,735.0,792.0,354.0,380.0,88.0,0.1880110005988951,0,0.2170873653380372,OPTIMAL,12.503,1959640.0,164381.45242718447,31578.0,17824.129316396855,0.0,212643.4251324205,46723.88188200655,1199578.052100106,2268096.0450061434,93447.7637640131,325732.2452614388,71.31147894522687,368.5044382862458,474.8149521321564,22.389883336344678,0.2868852105477312,28.68852105477313,0.5288920875909631,0.3926636280659238,93447.7637640131,325732.2452614388,tariff_050_with_h2,"0,50 USD/kWh | Com penalização"
3,722.0,854.0,355.0,358.0,87.0,0.1855927775918092,0,0.2973087252272471,OPTIMAL,11.699999999999998,1947780.0,163386.59417475728,31658.0,17739.061100792165,0.0,208158.5895621378,41951.73753680651,1191949.1552424885,2268096.0450061434,83903.47507361302,325732.2452614388,74.24158145403428,369.4791496889529,474.8149521321564,22.18460096300529,0.2575841854596573,25.75841854596573,0.525528518894472,0.3626898892385517,83903.47507361302,325732.2452614388,tariff_050_with_h2,"0,50 USD/kWh | Com penalização"
4,708.0,793.0,341.0,335.0,88.0,0.1854509743754867,0,0.3652440489323085,OPTIMAL,12.121000000000002,1879860.0,157689.22718446603,30523.5,17032.55134464165,0.0,215375.34299446936,46638.070971970286,1218191.288760601,2268096.0450061434,93276.14194394056,325732.2452614388,71.36416694973646,378.2155506498117,474.8149521321564,20.344641854382463,0.2863583305026353,28.635833050263532,0.537098634532164,0.3937780574090682,93276.14194394056,325732.2452614388,tariff_050_with_h2,"0,50 USD/kWh | Com penalização"
