thermal_case,source_run,source_solution_id,pv_kw,bsv_kwh,biomethane_storage_nm3,chp_kw,P_peak_grid_opt_kw,base_lcoe_usd_kwh,recomputed_lcoe_usd_kwh,lcoe_audit_error,chp_electric_energy_kwh,chp_capacity_factor,heat_available_kwh_th,thermal_demand_kwh_th,heat_useful_kwh_th,heat_dumped_kwh_th,heat_utilization_ratio,thermal_demand_coverage_ratio,heat_credit_usd_per_year,adjusted_lcoe_usd_kwh,lcoe_reduction_usd_kwh,lcoe_reduction_percent,dominated_by_h2,n_h2_dominators,solver_status,solve_time_sec
TMAX,seed42,10,245.0,105.0,346.0,41.0,428.3578345096222,0.185306319655312,0.185306319655312,5.551115123125783e-17,52860.18244425416,0.1471772537149297,61784.628830946414,0.0,61784.628830946414,0.0,1.0,0.0,4942.770306475713,0.18312705995537162,0.0021792596999403724,1.1760309653734475,True,39,OPTIMAL,8.464999999999987
TMAX,seed42,11,231.0,97.0,249.0,38.0,430.2476001141024,0.1844669162026829,0.1844669162026829,2.775557561562892e-17,49913.85010388404,0.1499454761592286,58340.86375778654,0.0,58340.86375778654,0.0,1.0,0.0,4667.269100622923,0.1824091245536478,0.0020577916490351067,1.1155342602323928,True,38,OPTIMAL,11.65
TMAX,seed42,12,252.0,113.0,315.0,32.0,436.2476001141032,0.1844436944185219,0.1844436944185219,2.775557561562892e-17,42108.60643488949,0.1502162044623626,49217.85167714355,0.0,49217.85167714355,0.0,1.0,0.0,3937.4281341714845,0.18270768851046476,0.0017360059080571422,0.9412118497897599,True,40,OPTIMAL,11.469999999999992
TMAX,seed42,13,240.0,70.0,168.0,29.0,439.24760011410217,0.1842310197452163,0.1842310197452163,8.326672684688674e-17,37398.75552964048,0.147216011374746,43712.83113854081,0.0,43712.83113854081,0.0,1.0,0.0,3497.026491083265,0.18268918623301422,0.0015418335122020788,0.8369022297843053,True,42,OPTIMAL,9.271999999999986
TMAX,seed42,14,251.0,113.0,300.0,29.0,439.2476001141031,0.1841112831778918,0.1841112831778918,5.551115123125783e-17,37317.77158184415,0.1468972271368452,43618.17457618147,0.0,43618.17457618147,0.0,1.0,0.0,3489.4539660945175,0.18257278838011737,0.0015384947977744312,0.8356330862611547,True,42,OPTIMAL,10.710999999999991
TMAX,seed42,15,249.0,114.0,288.0,28.0,440.24760011410217,0.1838903840195606,0.1838903840195606,0.0,35759.555995357485,0.1457907534057301,41796.88363093732,0.0,41796.88363093732,0.0,1.0,0.0,3343.7506904749857,0.18241612956819492,0.0014742544513656752,0.801702850981516,True,42,OPTIMAL,20.106
TMAX,seed42,16,241.0,129.0,227.0,26.0,442.2476001141025,0.1826997698082532,0.1826997698082532,0.0,32703.733684499945,0.1435885743084823,38225.14326759735,0.0,38225.14326759735,0.0,1.0,0.0,3058.011461407788,0.18135149733622052,0.0013482724720326744,0.7379716315174952,True,40,OPTIMAL,22.496999999999986
TMAX,seed43,0,229.0,118.0,180.0,25.0,443.24760011410217,0.1824317355828486,0.1824317355828486,5.551115123125783e-17,30383.58499201095,0.1387378310137486,35513.281159493315,0.0,35513.281159493315,0.0,1.0,0.0,2841.0624927594654,0.18117911557188607,0.0012526200109625185,0.6866239620867173,True,41,OPTIMAL,7.554999999999995
TMAX,seed43,1,223.0,134.0,191.0,25.0,443.2476001141024,0.1819924357681663,0.1819924357681663,5.551115123125783e-17,31193.91848669453,0.1424379839575092,36460.42420522737,0.0,36460.42420522737,0.0,1.0,0.0,2916.8339364181898,0.1807064082461658,0.0012860275220004935,0.7066378976534599,True,40,OPTIMAL,9.56499999999998
TMAX,seed43,2,208.0,135.0,196.0,25.0,443.4132164387021,0.1818002142053701,0.1818002142053701,5.551115123125783e-17,28708.632666027443,0.1310896468768376,33555.544674577526,0.0,33555.544674577526,0.0,1.0,0.0,2684.443573966202,0.18061664723082466,0.0011835669745454414,0.651026171623994,True,40,OPTIMAL,10.544999999999996
